0;1;2;3;4;5;6;7;8;9;10;11;12
Ocorrência de Parada;;;;;;;;;;;;
Empresa;;Prodwin Tecnologias;;;;;;;;;;
Período;;2026-03-19 00:00:00;2026-03-19 00:00:00;;;;;;;;;
Grupo de Máquina;;ARAGUARI;;;;;;;;;;
;;;;;;;;;;;;
Máquina;OP;Produto;Parada;Motivo Parada;Turno;Inicio;Fim;Duração;Tempo sem peso;Tempo com peso;Técnico;Complemento
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:34:23.927000;2026-03-19 04:34:39.267000;0:00:15.340000;0:00:00;0:00:15.340000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:35:32.007000;2026-03-19 04:36:52.590000;0:01:20.583000;0:00:00;0:01:20.583000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:38:18.367000;2026-03-19 04:38:29.133000;0:00:10.766000;0:00:00;0:00:10.766000;;
30;0616240967;060200301006;GO4037;Falha no Envolvimento com filme;3O. TURNO;2026-03-19 04:43:17.140000;2026-03-19 04:44:16.927000;0:00:59.787000;0:00:00;0:00:59.787000;;
30;0616240967;060200301006;999999999;Parada Nao Informada;3O. TURNO;2026-03-19 04:44:22.443000;2026-03-19 04:46:40.107000;0:02:17.664000;0:00:00;0:02:17.664000;;
30;0616240967;060200301006;999;Microparada;3O. TURNO;2026-03-19 04:50:04.917000;2026-03-19 04:50:50.830000;0:00:45.913000;0:00:00;0:00:45.913000;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:01:45.143000;2026-03-19 05:09:10.907000;0:07:25.764000;0:07:25.764000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:11:34.193000;2026-03-19 05:12:29.083000;0:00:54.890000;0:00:54.890000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:12:34.597000;2026-03-19 05:12:41.937000;0:00:07.340000;0:00:07.340000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:20:31.060000;2026-03-19 05:20:55.417000;0:00:24.357000;0:00:24.357000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:29:20.027000;2026-03-19 05:30:51.687000;0:01:31.660000;0:01:31.660000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:31:00.817000;2026-03-19 05:31:01.163000;0:00:00.346000;0:00:00.346000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:35:00.897000;2026-03-19 05:35:03.263000;0:00:02.366000;0:00:02.366000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 05:40:20.197000;2026-03-19 05:55:39.910000;0:15:19.713000;0:15:19.713000;0:00:00;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 06:03:04.953000;2026-03-19 06:03:15.063000;0:00:10.110000;0:00:00;0:00:10.110000;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 06:11:16.960000;2026-03-19 06:11:44.617000;0:00:27.657000;0:00:00;0:00:27.657000;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 06:12:14.277000;2026-03-19 06:13:09.170000;0:00:54.893000;0:00:00;0:00:54.893000;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 06:17:07.210000;2026-03-19 06:17:50.477000;0:00:43.267000;0:00:43.267000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 06:20:05.177000;2026-03-19 06:22:51.300000;0:02:46.123000;0:02:46.123000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 06:30:58.937000;2026-03-19 06:31:26.380000;0:00:27.443000;0:00:27.443000;0:00:00;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 06:39:34.343000;2026-03-19 06:39:59.223000;0:00:24.880000;0:00:00;0:00:24.880000;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 06:48:09.223000;2026-03-19 06:48:34.887000;0:00:25.664000;0:00:00;0:00:25.664000;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 06:56:36.740000;2026-03-19 06:57:02.903000;0:00:26.163000;0:00:26.163000;0:00:00;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 07:05:12.383000;2026-03-19 07:05:37.513000;0:00:25.130000;0:00:00;0:00:25.130000;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 07:05:59.540000;2026-03-19 07:06:15.627000;0:00:16.087000;0:00:00;0:00:16.087000;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 07:08:29.727000;2026-03-19 07:10:48.307000;0:02:18.580000;0:02:18.580000;0:00:00;;
30;0616240967;060200301006;GN4001;*                                   Falta de Garrafas;1O. TURNO;2026-03-19 07:18:59.497000;2026-03-19 07:19:24.667000;0:00:25.170000;0:00:25.170000;0:00:00;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 07:27:23.563000;2026-03-19 07:27:46.890000;0:00:23.327000;0:00:00;0:00:23.327000;;
30;0616240967;060200301006;999;Microparada;1O. TURNO;2026-03-19 07:35:52.193000;2026-03-19 07:36:16.030000;0:00:23.837000;0:00:00;0:00:23.837000;;
